id,temperature,pressure,humidity,wind_speed,wind_direction,precipitation,snowing,cloudiness,terget,target
TEST_00000,20.702,1021.0,76.4,2.0,104.8,0.0,False,23.0,0,4.320522980149475
TEST_00001,18.67366875,1014.4,59.6,2.4,179.2,0.12,False,32.4,0,5.660995638170369
TEST_00002,29.908,1020.6,49.6,2.6,78.0,0.6,False,23.0,0,5.010098826316169
TEST_00003,24.504,1014.6,61.0,1.8,118.0,0.0,False,15.0,0,4.208053999514346
TEST_00004,12.59,1011.4,70.8,1.8,110.0,0.12,False,34.0,0,5.365134031628099
TEST_00005,14.078,1014.6,79.8,1.2,100.0,0.0,False,41.0,0,4.453013421603162
TEST_00006,10.51,1008.4,49.2,2.0,62.0,0.0,False,12.0,0,5.863898685539609
TEST_00007,11.004,999.4,78.0,3.0,228.6,0.36,False,60.0,0,6.927439701872106
TEST_00008,11.78973125,1029.2,42.4,2.4,109.6,0.0,False,0.0,0,6.289182773348667
TEST_00009,17.182,1020.4,73.4,1.0,70.0,0.0,False,12.0,0,3.936610554116694
TEST_00010,22.27,1018.8,60.0,1.2,131.4,0.0,False,24.0,0,4.159998421321594
TEST_00011,14.754,1023.2,54.2,2.6,76.0,0.0,False,4.0,0,5.706645297804323
TEST_00012,23.656,1017.4,59.4,1.0,118.0,0.0,False,8.0,0,3.786738543415635
TEST_00013,17.348,1011.8,67.6,0.6,33.8,0.0,False,8.0,0,3.659562001319341
TEST_00014,9.47,1027.6,80.2,2.8,192.0,0.0,False,15.0,0,6.182283733253985
TEST_00015,22.562,1015.0,42.0,3.4,216.0,0.0,False,23.0,0,6.324613443069808
TEST_00016,22.622,1016.8,54.2,2.6,194.0,0.0,False,19.0,0,5.3890572508279275
TEST_00017,21.328,1021.6,82.2,1.0,146.8,0.06,False,19.8,0,3.662360506169175
TEST_00018,15.594,1016.2,58.8,5.2,250.0,0.0,False,23.0,0,7.905093582715401
TEST_00019,10.674,1020.4,80.6,1.6,78.0,0.0,False,17.6,0,4.864494878809225
TEST_00020,13.218,1013.4,57.0,3.2,314.0,0.0,False,35.0,0,7.178383273265395
TEST_00021,26.594,1013.8,64.2,2.0,120.0,0.18,False,22.0,0,4.275074947175358
TEST_00022,15.5344,1001.4,75.4,2.4,261.8,0.0,False,44.8,0,5.800027470174677
TEST_00023,22.058,1014.2,70.6,1.2,140.6,0.0,False,0.0,0,3.8427885394764547
TEST_00024,24.994,1012.2,57.6,3.0,152.0,0.06,False,27.0,0,5.264702647369007
TEST_00025,7.906,1023.8,87.4,2.0,152.4,0.06,False,26.4,0,5.608385623142553
TEST_00026,26.2936,1024.4,66.0,2.0,183.0,0.12,False,28.0,0,4.448413257673028
TEST_00027,16.368,1014.8,80.2,3.8,118.0,0.12,False,31.0,0,6.052481730675934
